City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,55.51,62,75,28.77,broken clouds
1,Hermanus,ZA,-34.4187,19.2345,77.81,77,7,6.82,clear sky
2,Sioux Lookout,CA,50.1001,-91.917,-5.42,71,100,13.8,overcast clouds
3,Cape Town,ZA,-33.9258,18.4232,77.27,52,0,18.41,clear sky
4,Margate,GB,51.3813,1.3862,46.96,55,32,1.01,scattered clouds
5,Mataura,NZ,-46.1927,168.8643,51.48,86,100,2.53,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,53.26,58,75,10.36,broken clouds
7,Batsfjord,NO,70.6345,29.7185,33.73,86,75,27.63,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,73.45,72,1,6.53,clear sky
9,Makakilo City,US,21.3469,-158.0858,63.61,83,0,4.61,clear sky
10,Trebinje,BA,42.7119,18.3442,52.16,76,20,6.91,few clouds
11,Kotelnich,RU,58.3089,48.348,24.12,97,100,5.41,snow
12,Matagami,CA,49.7502,-77.6328,3.31,78,100,8.05,light snow
13,Norman Wells,CA,65.282,-126.8329,-16.56,69,40,8.05,scattered clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,64.42,77,100,21.0,overcast clouds
15,Jamestown,US,42.097,-79.2353,42.08,37,96,8.01,overcast clouds
16,Hobart,AU,-42.8794,147.3294,53.46,68,9,4.61,clear sky
17,Tasiilaq,GL,65.6145,-37.6368,17.76,60,100,4.32,overcast clouds
18,Takoradi,GH,4.8845,-1.7554,84.0,71,6,13.65,clear sky
19,Tuatapere,NZ,-46.1333,167.6833,51.82,86,93,5.97,overcast clouds
20,Nador,MA,35.174,-2.9287,60.87,63,20,4.61,few clouds
21,Kinablangan,PH,7.6947,126.5503,76.59,86,55,4.23,broken clouds
22,Chuy,UY,-33.6971,-53.4616,83.88,54,4,10.98,clear sky
23,Acapulco,MX,16.8634,-99.8901,75.02,73,75,5.75,broken clouds
24,Charters Towers,AU,-20.1,146.2667,72.99,78,1,9.48,clear sky
25,Saint-Georges,GD,12.0564,-61.7485,82.08,69,75,18.41,broken clouds
26,Boma,GH,7.0805,-2.1697,100.4,13,4,3.96,clear sky
27,Kapaa,US,22.0752,-159.319,67.98,94,75,9.22,broken clouds
28,Vaini,TO,-21.2,-175.2,78.96,94,40,4.61,scattered clouds
29,Garwa,IN,24.1833,83.8167,57.54,37,0,3.02,clear sky
30,Bethel,US,41.3712,-73.414,50.04,52,0,10.36,clear sky
31,Mount Gambier,AU,-37.8333,140.7667,49.91,87,3,8.05,clear sky
32,Kaitangata,NZ,-46.2817,169.8464,55.36,89,100,2.46,overcast clouds
33,Padang,ID,-0.9492,100.3543,77.36,80,100,3.67,overcast clouds
34,Hamilton,US,39.1834,-84.5333,50.09,53,0,13.8,clear sky
35,Faanui,PF,-16.4833,-151.75,81.14,73,16,14.32,light rain
36,Mahebourg,MU,-20.4081,57.7,80.89,83,40,4.61,scattered clouds
37,Albany,US,42.6001,-73.9662,44.74,62,37,1.99,scattered clouds
38,Uusikaupunki,FI,60.8004,21.4084,30.72,80,43,11.23,scattered clouds
39,Rikitea,PF,-23.1203,-134.9692,79.0,72,2,18.57,light rain
40,Bilibino,RU,68.0546,166.4372,-36.67,97,42,2.64,scattered clouds
41,Avarua,CK,-21.2078,-159.775,73.45,94,15,2.3,few clouds
42,Nikolskoye,RU,59.7035,30.7861,30.09,84,100,10.71,overcast clouds
43,Turukhansk,RU,65.8167,87.9833,-19.75,90,30,4.68,scattered clouds
44,Bengkulu,ID,-3.8004,102.2655,75.25,89,85,4.68,overcast clouds
45,Panormos,GR,35.4182,24.6909,58.01,75,13,3.62,few clouds
46,Nakamura,JP,32.9833,132.9333,40.46,81,48,3.38,scattered clouds
47,Manali,IN,13.1667,80.2667,81.07,72,29,10.89,scattered clouds
48,Sechura,PE,-5.5569,-80.8222,77.02,59,97,6.64,overcast clouds
49,Bambanglipuro,ID,-7.95,110.2833,78.13,85,100,2.73,light rain
50,Vanimo,PG,-2.6741,141.3028,77.36,88,100,5.84,overcast clouds
51,Saldanha,ZA,-33.0117,17.9442,80.65,83,20,18.99,few clouds
52,Kodiak,US,57.79,-152.4072,36.91,93,100,8.05,light rain
53,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,4.61,scattered clouds
54,Barrow,US,71.2906,-156.7887,-25.58,68,0,8.05,clear sky
55,Muborak,UZ,39.2553,65.1528,53.49,39,100,11.41,overcast clouds
56,Ginir,ET,7.1333,40.7,67.59,26,20,5.17,few clouds
57,Busselton,AU,-33.65,115.3333,63.09,88,27,6.73,scattered clouds
58,Port Lincoln,AU,-34.7333,135.8667,62.76,78,0,15.41,clear sky
59,Kavaratti,IN,10.5669,72.642,80.94,73,35,7.18,scattered clouds
60,Kyren,RU,51.6828,102.1408,-12.95,92,35,1.48,scattered clouds
61,Bredasdorp,ZA,-34.5322,20.0403,77.29,58,0,9.66,clear sky
62,Yumen,CN,40.2833,97.2,23.92,46,97,1.74,overcast clouds
63,Ouallam,NE,14.3188,2.0866,92.46,5,0,9.71,clear sky
64,Shimoda,JP,34.6667,138.95,40.1,77,99,8.41,overcast clouds
65,Mayumba,GA,-3.432,10.6554,81.09,75,92,8.08,overcast clouds
66,Nanortalik,GL,60.1432,-45.2371,30.43,75,100,6.13,overcast clouds
67,Severo-Kurilsk,RU,50.6789,156.125,22.77,86,96,3.65,overcast clouds
68,Bac Lieu,VN,9.285,105.7244,78.67,82,87,12.12,overcast clouds
69,San Carlos De Bariloche,AR,-41.1456,-71.3082,59.25,25,0,3.44,clear sky
70,Yevlax,AZ,40.6089,47.1492,43.02,93,75,5.75,broken clouds
71,Airai,TL,-8.9266,125.4092,60.89,94,100,1.48,heavy intensity rain
72,Road Town,VG,18.4167,-64.6167,82.49,65,20,18.41,few clouds
73,Sotouboua,TG,8.5667,0.9833,100.44,7,3,5.03,clear sky
74,Goderich,CA,43.7501,-81.7165,34.92,100,100,17.27,light snow
75,Khani,GE,41.9563,42.9566,36.97,81,48,6.08,scattered clouds
76,Arona,ES,28.0996,-16.681,71.91,39,20,5.75,few clouds
77,Ravar,IR,31.2656,56.8055,56.55,25,0,1.54,clear sky
78,Conselheiro Pena,BR,-19.1722,-41.4722,80.82,82,91,0.63,overcast clouds
79,Salta,AR,-24.7859,-65.4117,81.57,53,75,3.44,broken clouds
80,Soyo,AO,-6.1349,12.3689,87.85,67,60,11.65,broken clouds
81,Aswan,EG,24.0934,32.907,67.3,26,0,9.22,clear sky
82,Hithadhoo,MV,-0.6,73.0833,81.86,69,100,8.25,overcast clouds
83,Saint-Philippe,RE,-21.3585,55.7679,80.19,78,42,8.01,scattered clouds
84,Cherskiy,RU,68.75,161.3,-37.79,99,50,5.28,scattered clouds
85,Asyut,EG,27.181,31.1837,62.78,34,0,9.35,clear sky
86,Port Shepstone,ZA,-30.7414,30.455,79.47,84,67,9.13,broken clouds
87,Awjilah,LY,29.1081,21.2869,59.29,42,0,7.02,clear sky
88,Poum,NC,-20.2333,164.0167,80.4,80,100,11.54,overcast clouds
89,Constitucion,CL,-35.3333,-72.4167,69.64,37,0,11.68,clear sky
90,Veraval,IN,20.9,70.3667,73.15,58,2,5.06,clear sky
91,Maebaru,JP,33.55,130.2,40.68,65,100,7.27,overcast clouds
92,Pisco,PE,-13.7,-76.2167,75.25,64,0,13.8,clear sky
93,Puerto Escondido,MX,15.85,-97.0667,77.83,83,40,4.61,scattered clouds
94,Rio Gallegos,AR,-51.6226,-69.2181,57.25,54,75,28.77,broken clouds
95,Havelock,US,34.8791,-76.9013,62.98,57,20,0.0,few clouds
96,Maragogi,BR,-9.0122,-35.2225,87.69,52,91,12.3,overcast clouds
97,Prince Rupert,CA,54.3161,-130.3201,35.29,93,100,4.61,overcast clouds
98,Ambilobe,MG,-13.2,49.05,74.19,95,99,2.84,moderate rain
99,Katsuura,JP,35.1333,140.3,41.18,68,14,13.06,few clouds
100,Atuona,PF,-9.8,-139.0333,77.09,78,24,15.46,light rain
101,Puerto Ayora,EC,-0.7393,-90.3518,80.56,91,47,1.99,scattered clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,64.15,53,0,4.92,clear sky
103,Asfi,MA,32.2994,-9.2372,64.36,69,58,17.27,broken clouds
104,Qaqortoq,GL,60.7167,-46.0333,23.5,67,100,5.91,overcast clouds
105,Marzuq,YE,14.4,46.4667,67.33,48,2,6.2,clear sky
106,Quelimane,MZ,-17.8786,36.8883,84.15,65,40,8.05,scattered clouds
107,Kahului,US,20.8947,-156.47,68.85,80,0,4.61,clear sky
108,Upernavik,GL,72.7868,-56.1549,-15.38,76,100,12.35,overcast clouds
109,Sisimiut,GL,66.9395,-53.6735,22.26,94,100,13.47,snow
110,Kahramanmaras,TR,38.0,37.0,45.23,79,3,1.48,clear sky
111,Castro,BR,-24.7911,-50.0119,78.12,46,0,5.21,clear sky
112,Sadovoye,RU,47.7764,44.5089,39.04,91,99,13.0,overcast clouds
113,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,100,10.36,overcast clouds
114,Huarmey,PE,-10.0681,-78.1522,75.36,72,86,9.66,overcast clouds
115,Atherton,GB,53.5237,-2.4935,45.9,78,100,4.0,overcast clouds
116,Lavrentiya,RU,65.5833,-171.0,-26.48,95,62,6.58,broken clouds
117,Novyy Urengoy,RU,66.0833,76.6333,-7.2,84,95,12.26,overcast clouds
118,Hoa Binh,VN,20.8133,105.3383,62.49,89,100,3.8,overcast clouds
119,Nizhyn,UA,51.048,31.8869,33.73,86,97,8.88,overcast clouds
120,Taksimo,RU,56.3444,114.8794,-23.21,92,62,2.53,broken clouds
121,Port-Cartier,CA,50.0334,-66.8654,15.75,67,14,7.94,few clouds
122,Butaritari,KI,3.0707,172.7902,80.64,81,71,17.11,light rain
123,Saint-Leu,RE,-21.15,55.2833,79.66,79,48,8.99,scattered clouds
124,Carnarvon,AU,-24.8667,113.6333,82.47,69,10,10.36,clear sky
125,Khatanga,RU,71.9667,102.5,8.02,84,99,16.44,overcast clouds
126,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,1,0.2,clear sky
127,Nouadhibou,MR,20.931,-17.0347,85.98,17,89,16.11,overcast clouds
128,Bluff,NZ,-46.6,168.3333,51.8,74,53,12.03,broken clouds
129,Plettenberg Bay,ZA,-34.0527,23.3716,69.26,70,11,3.38,few clouds
130,Tiksi,RU,71.6872,128.8694,-11.78,93,96,14.12,overcast clouds
131,Kimparana,ML,12.8347,-4.9244,94.24,5,1,10.54,clear sky
132,Ahuimanu,US,21.4447,-157.8378,64.78,89,0,3.44,clear sky
133,Neiafu,TO,-18.65,-173.9833,77.68,94,40,5.75,scattered clouds
134,Provideniya,RU,64.3833,-173.3,-17.99,94,14,9.44,few clouds
135,Kruisfontein,ZA,-34.0033,24.7314,72.97,53,0,8.97,clear sky
136,Shitanjing,CN,39.2342,106.3439,23.02,62,100,7.49,overcast clouds
137,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,62,100,1.43,overcast clouds
138,Brownsville,US,25.9018,-97.4975,64.35,81,100,0.0,smoke
139,Dawlatabad,AF,36.4141,64.9053,53.11,48,43,7.96,scattered clouds
140,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,27.63,heavy snow
141,Ust-Ilimsk,RU,58.0006,102.6619,-19.46,100,75,2.37,broken clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,40,16.11,scattered clouds
143,Belturbet,IE,54.1,-7.45,46.62,75,100,13.87,overcast clouds
144,Emerald,AU,-23.5333,148.1667,77.14,65,0,11.5,clear sky
145,Deniliquin,AU,-35.5333,144.9667,59.0,53,0,7.23,clear sky
146,Okato,NZ,-39.2,173.8833,67.91,93,100,7.05,overcast clouds
147,Alice Springs,AU,-23.7,133.8833,69.35,64,0,0.0,clear sky
148,San Pedro,PH,14.35,121.0167,79.83,75,20,9.22,few clouds
149,Luderitz,NA,-26.6481,15.1594,74.89,59,100,11.48,overcast clouds
150,Ilulissat,GL,69.2167,-51.1,21.22,53,75,25.32,broken clouds
151,Saint-Pierre,RE,-21.3393,55.4781,80.28,74,100,8.05,overcast clouds
152,East London,ZA,-33.0153,27.9116,77.94,73,20,5.75,few clouds
153,Araripina,BR,-7.5761,-40.4983,87.85,42,54,3.58,broken clouds
154,Dikson,RU,73.5069,80.5464,6.04,91,100,26.4,overcast clouds
155,Yellowknife,CA,62.456,-114.3525,-24.59,91,20,3.44,few clouds
156,Zhigansk,RU,66.7697,123.3711,-24.16,99,92,7.58,overcast clouds
157,Waitara,NZ,-38.925,174.25,69.22,99,100,10.78,overcast clouds
158,High River,CA,50.5834,-113.8687,30.07,72,20,18.52,few clouds
159,Coihaique,CL,-45.5752,-72.0662,58.95,51,40,4.61,scattered clouds
160,Sola,VU,-13.8833,167.55,77.67,94,100,0.0,overcast clouds
161,Alofi,NU,-19.0595,-169.9187,73.29,94,20,2.3,few clouds
162,Khandyga,RU,62.6667,135.6,-41.42,100,70,0.49,broken clouds
163,Isangel,VU,-19.55,169.2667,80.71,89,40,4.61,scattered clouds
164,Vardo,NO,70.3705,31.1107,31.75,86,100,5.75,heavy shower snow
165,Tilichiki,RU,60.4667,166.1,-16.47,84,1,9.01,clear sky
166,Teguldet,RU,57.3064,88.1667,-9.33,99,18,4.54,few clouds
167,Kuryk,KZ,43.2,51.65,40.84,70,99,11.07,overcast clouds
168,Lukow,PL,51.929,22.3796,35.46,99,100,7.36,snow
169,Ferme-Neuve,CA,46.7001,-75.4493,29.98,89,100,9.89,overcast clouds
170,Yulara,AU,-25.2406,130.9889,73.24,33,0,8.05,clear sky
171,Kendari,ID,-3.945,122.4989,75.9,92,99,2.89,very heavy rain
172,Hasaki,JP,35.7333,140.8333,34.29,56,12,16.64,few clouds
173,Leningradskiy,RU,69.3833,178.4167,-16.98,97,100,4.27,overcast clouds
174,Hilo,US,19.7297,-155.09,66.11,86,20,5.99,few clouds
175,Cidreira,BR,-30.1811,-50.2056,79.05,70,0,14.65,clear sky
176,Panambi,BR,-28.2925,-53.5017,88.43,41,49,8.28,scattered clouds
177,Praya,CV,14.9215,-23.5087,84.74,39,42,25.32,haze
178,Luza,RU,60.6308,47.2512,24.96,96,99,4.88,overcast clouds
179,New Norfolk,AU,-42.7826,147.0587,53.1,58,0,2.42,clear sky
180,Honningsvag,NO,70.9821,25.9704,31.75,74,40,23.02,scattered clouds
181,Longyearbyen,SJ,78.2186,15.6401,19.24,93,75,5.75,light snow
182,Fortuna,US,40.5982,-124.1573,47.32,81,0,11.5,clear sky
183,Esperance,AU,-33.8667,121.9,76.84,71,94,4.09,light rain
184,Bathsheba,BB,13.2167,-59.5167,83.01,61,40,28.77,scattered clouds
185,Codrington,AU,-38.2667,141.9667,56.73,76,9,11.77,clear sky
186,Victoria,HK,22.2855,114.1577,67.17,86,57,1.01,broken clouds
187,Valenca,BR,-13.3703,-39.0731,87.84,55,19,6.33,few clouds
188,Siocon,PH,7.7061,122.1353,77.25,90,37,4.12,scattered clouds
189,Alekseyevsk,RU,57.8406,108.3492,-25.31,100,36,1.28,scattered clouds
190,Ancud,CL,-41.8697,-73.8203,61.23,52,0,5.97,clear sky
191,Bilma,NE,18.6853,12.9164,76.03,12,0,3.6,clear sky
192,Amboasary,MG,-25.0333,46.3833,80.44,80,5,16.08,clear sky
193,Sur,OM,22.5667,59.5289,70.38,50,0,7.09,clear sky
194,High Rock,BS,26.6208,-78.2833,73.42,72,60,12.19,broken clouds
195,Rio Grande,BR,-32.035,-52.0986,84.31,68,58,15.3,broken clouds
196,Ribeira Grande,PT,38.5167,-28.7,64.8,59,40,9.22,scattered clouds
197,Sebaste,PH,11.5901,122.0945,77.85,87,100,11.97,overcast clouds
198,Hami,CN,42.8,93.45,29.77,54,97,2.51,overcast clouds
199,Albanel,CA,48.8832,-72.4487,6.94,78,85,2.3,overcast clouds
200,Tramandai,BR,-29.9847,-50.1336,80.06,68,0,13.78,clear sky
201,Chitral,PK,35.8462,71.7858,33.13,43,18,7.63,few clouds
202,Aquiraz,BR,-3.9014,-38.3911,86.09,59,58,9.55,broken clouds
203,Ayorou,NE,14.7308,0.9174,92.35,5,1,8.5,clear sky
204,Yar-Sale,RU,66.8333,70.8333,1.13,80,71,17.94,broken clouds
205,Whitehorse,CA,60.7161,-135.0538,21.97,86,100,11.5,light snow
206,Galveston,US,29.3669,-94.9669,65.12,82,0,8.05,clear sky
207,Bjorkelangen,NO,59.8848,11.5694,36.45,54,7,5.77,clear sky
208,Waipawa,NZ,-41.4122,175.5153,61.45,98,100,3.94,overcast clouds
209,Sarangani,PH,5.4033,125.4636,81.68,77,77,18.92,heavy intensity rain
210,Key West,US,24.5557,-81.7826,75.2,70,100,9.22,overcast clouds
211,Mount Isa,AU,-20.7333,139.5,80.37,41,100,5.75,overcast clouds
212,Viedma,AR,-40.8135,-62.9967,69.91,24,80,12.33,broken clouds
213,Filingue,NE,14.3521,3.3168,91.87,5,0,11.03,clear sky
214,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,43,0,4.61,clear sky
215,Lander,US,42.833,-108.7307,29.21,74,100,9.22,overcast clouds
216,Kumluca,TR,36.3703,30.2869,54.97,68,0,3.44,clear sky
217,Kotelnikovo,RU,47.6317,43.1461,38.46,95,100,13.35,overcast clouds
218,Husavik,IS,66.0449,-17.3389,26.51,85,100,6.08,overcast clouds
219,Saskylakh,RU,71.9167,114.0833,0.46,89,99,11.61,overcast clouds
220,Kitimat,CA,54.0524,-128.6534,26.98,33,100,2.66,overcast clouds
221,Zhangjiakou,CN,40.81,114.8794,26.33,53,71,4.9,snow
222,Nelson,NZ,-41.2833,173.2833,68.29,92,100,1.19,overcast clouds
223,Okmulgee,US,35.6234,-95.9605,57.92,38,0,8.05,clear sky
224,Manado,ID,1.487,124.8455,75.97,100,40,0.0,scattered clouds
225,Oistins,BB,13.0667,-59.5333,82.49,61,40,28.77,scattered clouds
226,Jiazi,CN,22.8779,116.067,60.39,88,23,11.12,few clouds
227,Kropotkin,RU,45.4375,40.5756,40.12,80,49,9.78,scattered clouds
